x,y,UTC_DATE,LOCAL_MONTH,UTC_DAY,DEW_POINT_TEMP,LOCAL_DATE,WIND_DIRECTION_FLAG,RELATIVE_HUMIDITY_FLAG,WINDCHILL_FLAG,STATION_NAME,WIND_SPEED_FLAG,TEMP,PRECIP_AMOUNT,LOCAL_YEAR,DEW_POINT_TEMP_FLAG,WIND_DIRECTION,WIND_SPEED,CLIMATE_IDENTIFIER,LOCAL_DAY,WEATHER_FRE_DESC,TEMP_FLAG,PROVINCE_CODE,VISIBILITY,UTC_MONTH,RELATIVE_HUMIDITY,WEATHER_ENG_DESC,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,ID,HUMIDEX_FLAG,WINDCHILL,UTC_YEAR,STATION_PRESSURE_FLAG,HUMIDEX,VISIBILITY_FLAG
-79.63055555555556,43.67666666666667,2023-01-01T05:00:00,1,1,3.3,2023-01-01 00:00:00,,,,TORONTO INTL A,,3.3,,2023,,27,14,6158731,1,ND,,ON,24.1,1,100,NA,99.07,,0,6158731.2023.1.1.0,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T06:00:00,1,1,3.1,2023-01-01 01:00:00,,,,TORONTO INTL A,,3.1,,2023,,27,11,6158731,1,Nuageux,,ON,24.1,1,100,Cloudy,99.08,,1,6158731.2023.1.1.1,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T07:00:00,1,1,2.9,2023-01-01 02:00:00,,,,TORONTO INTL A,,3.4,,2023,,26,9,6158731,1,ND,,ON,24.1,1,96,NA,99.09,,2,6158731.2023.1.1.2,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T08:00:00,1,1,1.6,2023-01-01 03:00:00,,,,TORONTO INTL A,,3.7,,2023,,27,19,6158731,1,ND,,ON,24.1,1,86,NA,99.2,,3,6158731.2023.1.1.3,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T09:00:00,1,1,1.6,2023-01-01 04:00:00,,,,TORONTO INTL A,,3.4,,2023,,28,8,6158731,1,Nuageux,,ON,24.1,1,88,Cloudy,99.18,,4,6158731.2023.1.1.4,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T10:00:00,1,1,2.6,2023-01-01 05:00:00,,,,TORONTO INTL A,,3.1,,2023,,26,8,6158731,1,ND,,ON,24.1,1,97,NA,99.22,,5,6158731.2023.1.1.5,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T11:00:00,1,1,2.4,2023-01-01 06:00:00,,,,TORONTO INTL A,,3.5,,2023,,25,18,6158731,1,ND,,ON,24.1,1,93,NA,99.3,,6,6158731.2023.1.1.6,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T12:00:00,1,1,-0.3,2023-01-01 07:00:00,,,,TORONTO INTL A,,3.2,,2023,,29,21,6158731,1,Nuageux,,ON,24.1,1,78,Cloudy,99.38,,7,6158731.2023.1.1.7,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T13:00:00,1,1,-0.1,2023-01-01 08:00:00,,,,TORONTO INTL A,,2.9,,2023,,28,21,6158731,1,ND,,ON,24.1,1,81,NA,99.37,,8,6158731.2023.1.1.8,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T14:00:00,1,1,0.7,2023-01-01 09:00:00,,,,TORONTO INTL A,,3.0,,2023,,26,7,6158731,1,ND,,ON,24.1,1,85,NA,99.36,,9,6158731.2023.1.1.9,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T15:00:00,1,1,0.3,2023-01-01 10:00:00,,,,TORONTO INTL A,,3.2,,2023,,23,10,6158731,1,Généralement nuageux,,ON,24.1,1,81,Mostly Cloudy,99.38,,10,6158731.2023.1.1.10,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T16:00:00,1,1,0.7,2023-01-01 11:00:00,,,,TORONTO INTL A,,2.9,,2023,,21,10,6158731,1,"Pluie,Neige",,ON,9.7,1,85,"Rain,Snow",99.38,,11,6158731.2023.1.1.11,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T17:00:00,1,1,2.7,2023-01-01 12:00:00,,,,TORONTO INTL A,,2.7,,2023,,17,10,6158731,1,Pluie,,ON,9.7,1,100,Rain,99.31,,12,6158731.2023.1.1.12,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T18:00:00,1,1,2.9,2023-01-01 13:00:00,,,,TORONTO INTL A,,2.9,,2023,,18,7,6158731,1,Nuageux,,ON,16.1,1,100,Cloudy,99.26,,13,6158731.2023.1.1.13,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T19:00:00,1,1,3.1,2023-01-01 14:00:00,,,,TORONTO INTL A,,3.1,,2023,,20,13,6158731,1,"Pluie,Brouillard",,ON,6.4,1,100,"Rain,Fog",99.27,,14,6158731.2023.1.1.14,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T20:00:00,1,1,3.2,2023-01-01 15:00:00,,,,TORONTO INTL A,,3.2,,2023,,21,8,6158731,1,Pluie,,ON,8.1,1,100,Rain,99.28,,15,6158731.2023.1.1.15,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T21:00:00,1,1,3.4,2023-01-01 16:00:00,,,,TORONTO INTL A,,3.4,,2023,,18,6,6158731,1,Brouillard,,ON,9.7,1,100,Fog,99.26,,16,6158731.2023.1.1.16,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T22:00:00,1,1,3.3,2023-01-01 17:00:00,,,,TORONTO INTL A,,3.4,,2023,,21,11,6158731,1,Brouillard,,ON,8.1,1,99,Fog,99.32,,17,6158731.2023.1.1.17,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-01T23:00:00,1,1,3.1,2023-01-01 18:00:00,,,,TORONTO INTL A,,3.1,,2023,,21,8,6158731,1,Brouillard,,ON,9.7,1,100,Fog,99.35,,18,6158731.2023.1.1.18,,,2023,,,
-79.63055555555556,43.67666666666667,2023-01-02T00:00:00,1,2,3.4,2023-01-01 19:00:00,,,,TORONTO INTL A,,3.4,,2023,,22,10,6158731,1,"Pluie,Brouillard",,ON,9.7,1,100,"Rain,Fog",99.42,,19,6158731.2023.1.1.19,,,2023,,,
